chr,start,end,value,area,cluster,indexStart,indexEnd,L,clusterL,p.value,fwer,p.valueArea,fwerArea,effect_450K,effect_EPIC
5,1594330,1594863,-0.211947334004352,1.90752600603917,166123,114135,114143,9,10,0.00385425390914044,0.9,0.0105707385693725,1,-0.264662248372386,0.0764228032937135
1,248100345,248100614,0.218914501804362,1.09457250902181,21988,41044,41048,5,8,0.00775729584244721,0.965,0.0422504289280458,1,0.233214181929291,0.130549517269269
6,30039374,30039801,0.130037071878857,1.56044486254629,180379,141555,141566,12,31,0.00596840162301494,0.97,0.0182711150502923,1,0.114241667574139,0.325320710168388
1,150266158,150266645,0.13325469095759,1.46580160053349,13638,25843,25853,11,11,0.00786300322814093,0.995,0.0211496084761061,1,0.210398759404364,0.00954426825913597
18,31158105,31158234,-0.217485433083587,0.434970866167174,102319,374896,374897,2,7,0.0148559533586489,0.995,0.179678161667249,1,-0.145575406162247,-0.0578584947181794
1,110254662,110254919,-0.125761224982149,1.00608979985719,12088,22851,22858,8,9,0.0289638236800807,1,0.049999593433132,1,-0.127736391835765,0.00671134649054599
6,28945322,28945507,-0.123511207005009,0.741067242030052,180049,140227,140232,6,7,0.0612533643408331,1,0.0857124271228889,1,-0.155157402219966,0.0520913530380679
10,128994297,128994644,-0.112104040220411,0.672624241322469,31889,236911,236916,6,9,0.0758735089160114,1,0.0984867581171075,1,-0.0992793210957976,-0.2457719557086
4,187476569,187476703,-0.13135444566092,0.656772228304601,165057,112036,112040,5,11,0.0639773623567868,1,0.102243435977915,1,-0.142014598507122,-0.169324754991816
4,165878055,165878219,-0.126158779583874,0.63079389791937,163956,110006,110010,5,7,0.073043803514364,1,0.108350070336068,1,-0.213848122339065,0.0942098228602485
3,238496,238618,-0.156386757726921,0.625547030907683,142890,71902,71905,4,8,0.0402175945877819,1,0.109634821639115,1,-0.145059747628607,-0.0654161942705845
10,129535186,129535509,-0.114420548374404,0.572102741872019,31923,236970,236974,5,10,0.0957708914385149,1,0.123840268008879,1,-0.0887987293702523,-0.0766709356279741
15,25068754,25068790,-0.105433914615405,0.527169573077023,71083,313584,313588,5,7,0.110756946194941,1,0.139078394223498,1,-0.193990989925992,-0.0107786838350113
2,79739863,79739940,-0.115916119605442,0.46366447842177,121098,52345,52348,4,8,0.125214464022898,1,0.164472560802075,1,-0.0541115457444654,-0.0509768257107266
5,178977123,178977236,0.153820986175099,0.461462958525296,176722,133406,133408,3,11,0.0589847212170986,1,0.165578422683179,1,0.0421915562745739,0.0934559442413089
7,24323792,24323939,-0.114701751685513,0.458807006742053,193346,171899,171902,4,10,0.128979273221067,1,0.166960750034558,1,-0.0657233506372056,-0.0262158357891511
19,50554280,50554510,-0.147257032210851,0.441771096632553,113010,397435,397437,3,10,0.0719054162838162,1,0.175840170432831,1,-0.114005174250061,0.0200204217729922
10,42862876,42863173,-0.109663478141634,0.438653912566537,25232,224641,224644,4,9,0.144046641351103,1,0.177572145290736,1,-0.177571554774703,-0.104723769276659
10,128593943,128594144,-0.103610191408847,0.414440765635388,31857,236865,236868,4,8,0.157926834226425,1,0.191631227588001,1,-0.108053962362067,-0.0764004177397879
18,6414974,6414978,-0.138128447393024,0.414385342179071,101497,373257,373259,3,8,0.094770736943105,1,0.191671884274807,1,-0.105492372608823,-0.0832883634005309
