chr,start,end,width,n_probes,effect_M,se,z,p_pointwise,theta,probe_start,probe_end,p_fwer_within,p_fwer_naive,stability,effect_450K,se_450K,effect_EPIC,se_EPIC,sign_concordant
4,9783192,9783206,15,4,-0.15444317672542934,0.02616417172351986,-5.9028498344014135,3.5727545041888834e-09,-0.005311789484377951,98954,98957,0.06467661691542288,0.1044776119402985,0.0,-0.06565973437658154,0.0300513553596396,-0.2842054863718516,0.057057187142535784,True
10,128994432,128994644,213,5,-0.16700886102050214,0.029068475762012744,-5.7453601072111455,9.172556476449306e-09,-0.017205971872122687,236911,236915,0.06965174129353234,0.14427860696517414,0.02,-0.14452822694115483,0.03532883916991684,-0.14562198992026357,0.06011320590201656,True
7,27204785,27205114,330,4,-0.12472966152579147,0.02320277699108027,-5.375635061860944,7.631322135411541e-08,-0.0037840561436245585,172570,172573,0.10945273631840796,0.23880597014925373,0.0,-0.15186484986868626,0.030098538704808338,0.003946110918378879,0.03696345962633819,False
20,21686264,21686293,30,4,-0.15872119012869068,0.030520604339714062,-5.200460264876186,1.9879561719633365e-07,-0.009210916605675674,404091,404094,0.14427860696517414,0.30845771144278605,0.0,-0.1722362387864907,0.03926380329528007,-0.08058123419715528,0.05707884938013514,True
15,45421951,45422095,145,7,-0.09015518228026849,0.01726496634046768,-5.221856822793338,1.7713790816651478e-07,-4.851263921789656e-05,317382,317388,0.14427860696517414,0.3034825870646766,0.0,-0.09215528385209165,0.01935086909148705,0.029861782734530967,0.03519585311161782,False
1,110254662,110254854,193,6,-0.07593751654339505,0.015558501534177722,-4.880773150073697,1.0567073983167659e-06,-0.03214896558010076,22850,22855,0.26865671641791045,0.4626865671641791,0.14,-0.05973917274940324,0.01868345015831196,-0.06518727402076059,0.028912775911428504,True
1,26097918,26098214,297,3,-0.07711780530863847,0.016175489745277306,-4.767571586582363,1.8645975149375458e-06,-0.039713248185055255,10445,10447,0.3333333333333333,0.527363184079602,0.16,-0.09321196678743124,0.02052788081220924,0.01823274644512748,0.03263720660586045,False
13,113540400,113540557,158,4,-0.058658901312692954,0.012524482186780225,-4.683539042804363,2.819637164485741e-06,-0.004488470960206096,298007,298010,0.39303482587064675,0.582089552238806,0.0,-0.05258005986700834,0.01665247385684396,-0.05530489751333085,0.023173665857707474,True
6,48036409,48036617,209,6,-0.0771442656755071,0.016749091391568067,-4.60587764864329,4.107298454883286e-06,-0.0345941687259133,153305,153310,0.44776119402985076,0.6368159203980099,0.18,-0.0630369374322523,0.021265811397529914,0.010079645918934128,0.02748020074809305,False
5,68710808,68710907,100,5,-0.09080274517699115,0.019797555322175343,-4.586563527633259,4.506013356298543e-06,-0.015945255658559823,119813,119817,0.4527363184079602,0.6467661691542289,0.04,-0.05540688288582521,0.023733092578624156,-0.14365428986530454,0.04099011866534255,True
19,56988398,56988813,416,5,-0.06560827653679766,0.014348269327265661,-4.5725568039152895,4.818085467476578e-06,-0.03914001046568718,400480,400484,0.4626865671641791,0.6716417910447762,0.18,-0.08092608748787461,0.01747958923921634,-0.006749541315213368,0.029642204009931634,True
5,1594676,1594733,58,4,-0.07228518965673238,0.015783820689430395,-4.579701650129491,4.656396658384547e-06,-0.005988448719882759,114136,114139,0.4626865671641791,0.6616915422885572,0.0,-0.08063788879262267,0.018365338142157357,-0.02822547831270163,0.03684386484584058,True
4,66535351,66535575,225,5,-0.09593135132290223,0.020987148841710306,-4.5709568291737765,4.855023029554166e-06,-0.02061142297664979,102694,102698,0.4626865671641791,0.6766169154228856,0.02,-0.09961399652992378,0.025792891213077318,0.01421595410236194,0.04143490169668333,False
3,69591803,69592090,288,4,-0.08024729353085142,0.018233066417267192,-4.401195700952152,1.0765596986610883e-05,-0.016936327863755967,81518,81521,0.5621890547263682,0.7910447761194029,0.04,-0.08612875025564809,0.02454746444592589,-0.06042999788238354,0.030697554926030733,True
20,57463653,57463725,73,5,-0.051170399102352375,0.011985848301821377,-4.2692346685696405,1.9614482231597806e-05,-0.007423634501844451,409162,409166,0.6467661691542289,0.835820895522388,0.0,-0.0732516718512968,0.01567217301160371,-0.008699810909991524,0.02115395841045344,True
10,124895638,124895697,60,3,-0.06771836596288988,0.015880937616293774,-4.264128957563004,2.00683522091321e-05,-0.005737011177289461,236083,236085,0.6567164179104478,0.835820895522388,0.0,-0.10379021110654375,0.02100301120376962,-0.016774124393557816,0.028241358647569614,True
18,904920,905101,182,3,-0.09710696772206405,0.023139531234493558,-4.19658318649554,2.709719623231384e-05,-0.016340345312907727,372876,372878,0.6965174129353234,0.8557213930348259,0.0,-0.1281996809466621,0.02927544904987548,0.015052397289654948,0.04538607147024369,False
1,207095153,207095668,516,4,0.05681648545832905,0.013574686994350209,4.185472967588578,2.8457293552140043e-05,0.029065869748032783,35076,35079,0.7064676616915423,0.8656716417910447,0.12,0.04298125417098267,0.01589779444292999,0.11107711852081237,0.028180144239734004,True
19,847943,848026,84,3,-0.07140040028568886,0.017044785830737565,-4.1889878227117165,2.802014335684005e-05,0.0067523089547710385,378768,378770,0.7064676616915423,0.8606965174129353,0.0,-0.07281098753873781,0.02089717119575482,-0.029318141098625634,0.030886092605445684,True
1,161736013,161736066,54,3,0.08449624785301009,0.020691529591945066,4.083615349824275,4.434040355745712e-05,0.015507490585328092,29759,29761,0.7711442786069652,0.9253731343283582,0.04,0.08414011610348492,0.025449792307213448,0.037896536022187684,0.03870862232929804,True
3,238496,238618,123,4,-0.1433292589721714,0.035399398492068995,-4.0489179217065905,5.145498501575232e-05,-0.018836810671161743,71901,71904,0.8059701492537313,0.9402985074626866,0.0,-0.1611454575104733,0.041797144159275705,0.034393358398472955,0.06494790528455148,False
17,40715222,40715244,23,4,0.09384882029191115,0.02316368522082654,4.051549630260533,5.087953054864999e-05,0.008453485519809102,359027,359030,0.8059701492537313,0.9402985074626866,0.0,0.1461553431209634,0.029917251832462514,-0.01868942243683977,0.033661179170510744,False
12,133177075,133177546,472,3,-0.08600373418836155,0.021260325968641292,-4.045268840901873,5.226311314438016e-05,0.002485855113053468,287763,287765,0.8109452736318408,0.9402985074626866,0.0,-0.08318265284558506,0.025504518021431617,0.012377437512117078,0.041120124291871826,False
4,187645118,187645144,27,3,-0.10472116723742353,0.025900744202236235,-4.043172135122745,5.2732876832354604e-05,-0.001969451904944315,112139,112141,0.8159203980099502,0.9502487562189055,0.0,-0.13855021335782552,0.031604373560336685,0.08093684183140783,0.04183339417661559,False
3,20049601,20049638,38,3,-0.05869514565477339,0.014691979287439717,-3.995046855596394,6.468145956833884e-05,-0.05869514565477339,74456,74458,0.8407960199004975,0.9651741293532339,0.7,-0.06670870873240381,0.019390699093867772,-0.04073016324869584,0.028235462453036493,True
14,95826570,95826853,284,4,-0.0654637719690325,0.016398072563724452,-3.9921625980513333,6.547345256299961e-05,-0.01157442494171847,309113,309116,0.8407960199004975,0.9651741293532339,0.02,-0.05926449140044423,0.020700947615023953,0.0015665928850076298,0.030312782878761595,False
6,31544960,31545473,514,4,0.05658653555790361,0.014328569788159105,3.949210311601776,7.840943911250496e-05,0.009484865151357567,144383,144386,0.8905472636815921,0.9701492537313433,0.0,0.04764664060658168,0.018957587451932982,0.012105208948608675,0.023957132018467032,True
17,7284330,7284351,22,3,-0.10423546052431153,0.026881649953083415,-3.877569297503458,0.00010550528144147211,-0.007560528752667937,350579,350581,0.9303482587064676,0.9751243781094527,0.0,-0.08658236114510381,0.033598012399270065,-0.0772006656276859,0.052262896530188285,True
17,40932508,40932572,65,4,-0.09655737665860828,0.025183375119218154,-3.8341714008350922,0.00012598827055431748,0.000628374048715373,359207,359210,0.945273631840796,0.9900497512437811,0.0,-0.09615977768052217,0.03070239105647808,0.018472948974573716,0.0393147069062608,False
7,103630083,103630093,11,3,-0.08714287490112209,0.022821824650755634,-3.818400861222846,0.00013431954230155657,-0.013675137179536957,182856,182858,0.945273631840796,0.9900497512437811,0.02,-0.09915344185972053,0.028088620385841756,-0.034003338162398346,0.034816292132645185,True
16,51185082,51185147,66,4,-0.07209374023384706,0.01876754537688441,-3.8414048713394027,0.00012233214533664206,-0.01044498714758476,337588,337591,0.945273631840796,0.9850746268656716,0.0,-0.07411751662827896,0.0233885101451209,-0.03746175336857326,0.035123173784493415,True
16,89822293,89822399,107,3,-0.06258973038578307,0.01623419449001378,-3.855425683379868,0.00011552842365297434,-0.06258973038578307,346800,346802,0.945273631840796,0.9850746268656716,0.66,-0.07480222111765063,0.02050908373419331,0.0136560135336228,0.03254122028622625,False
10,124220854,124220874,21,3,-0.10843322338860736,0.02857150194368025,-3.7951530725388336,0.00014755239127729581,0.00852652610593094,235922,235924,0.9502487562189055,0.9900497512437811,0.0,-0.10368384764490368,0.03230290549860599,-0.1601697639682994,0.05893731428178159,True
13,25670170,25670187,18,4,-0.08177385386129389,0.021753562022588484,-3.7591017864743934,0.0001705244570666677,-0.025913954392530372,289485,289488,0.9601990049751243,0.9900497512437811,0.08,-0.109248933163605,0.029510068448595345,-0.019596063801386412,0.02689228748524882,True
22,44568753,44568775,23,3,-0.06477515167903773,0.017184568164300498,-3.7693790766068065,0.00016365417275510764,-0.025872405391514836,421065,421067,0.9601990049751243,0.9900497512437811,0.08,-0.046383426550113176,0.021600681016156104,-0.04101334977373087,0.03283411669997147,True
13,36871646,36872166,521,9,-0.05518740770489769,0.014753360567239979,-3.740666911336934,0.00018353261657325733,-0.028239672226226194,291008,291016,0.9651741293532339,0.9950248756218906,0.26,-0.07705023511700876,0.01895318463554599,0.05451693266219868,0.022653393077977844,False
10,128593922,128593946,25,3,-0.12087350622591496,0.032638667243176114,-3.703383637736814,0.00021274278667513078,-0.038177632551022425,236863,236865,0.9751243781094527,0.9950248756218906,0.14,-0.13785079407572426,0.040349722703173156,0.06358537203887475,0.06373427720548913,False
4,899553,899970,418,3,-0.05003265300034532,0.013569146295533888,-3.6872366109585633,0.00022670254629226662,0.006374933857941009,94950,94952,0.9751243781094527,1.0,0.0,-0.06623648116672619,0.01675817177122221,-0.020008030304818136,0.026774292733339776,True
6,28945322,28945492,171,4,-0.10726334342984616,0.029021760898395026,-3.6959626194073594,0.00021905520401212868,-0.021576251205668192,140226,140229,0.9751243781094527,0.9950248756218906,0.14,-0.17960675370078522,0.035927046819528255,0.05484873217518945,0.05539739487185672,False
19,54041251,54041856,606,6,-0.06113947190181804,0.01664974507285108,-3.6720965777134627,0.0002405687294618233,-0.004984232885265138,398905,398910,0.9800995024875622,1.0,0.0,-0.08788988114048085,0.022976024474888158,0.009266990124923323,0.021099782550730434,False
6,152128528,152128537,10,3,-0.06719025551085779,0.018380087445326963,-3.655600426859805,0.0002565807373727327,-0.0007354186588486969,161752,161754,0.9850746268656716,1.0,0.0,-0.10778963267843925,0.020684351550008338,0.09538735447555435,0.03900543581873101,False
19,47507399,47507461,63,3,-0.07434125715972967,0.020463275028064578,-3.6329110104699054,0.0002802416879693067,-0.027070604751917686,395661,395663,0.9900497512437811,1.0,0.1,-0.07140197559392686,0.023573100050421885,-0.005938653629587749,0.046571177708625684,True
1,77747374,77747387,14,3,-0.09840094058177783,0.02706491041990756,-3.635738639260344,0.0002771852566362621,-0.0024266502886780505,19949,19951,0.9900497512437811,1.0,0.0,-0.13027219450585936,0.03326380263967005,0.022715263457189383,0.045483876529007726,False
18,7117321,7117790,470,3,-0.08381269602557077,0.024801844460379148,-3.379292865071436,0.0007267254707524837,-0.003058889342621755,373302,373304,0.9950248756218906,1.0,0.02,-0.09922464815953812,0.026947187002179906,-0.06856440793628527,0.05994441510721885,True
18,6414974,6414978,5,3,-0.11251388205715536,0.03331775214499927,-3.376994989562728,0.0007328238499125844,-0.02016747349733124,373256,373258,0.9950248756218906,1.0,0.02,-0.09879407380874954,0.038796691036996366,-0.06989635038030287,0.0735850969884423,True
7,145813421,145813439,19,4,-0.07275976318102799,0.021380970376522694,-3.4030150128696506,0.0006664661836543315,-0.0270294217986171,187470,187473,0.9950248756218906,1.0,0.12,-0.07378535470900185,0.026079979928721065,-0.04269651546203157,0.04411167257294138,True
17,58119753,58120343,591,3,0.0622352421656258,0.01761890461266356,3.5322991714759793,0.0004119630035544174,0.029221228815094952,363935,363937,0.9950248756218906,1.0,0.14,0.09677900273491855,0.023302078152368403,-0.009093048198167152,0.030108329073328,False
7,158380179,158380596,418,3,-0.07067901517593397,0.02035544818811756,-3.472240675948008,0.0005161333930548917,-0.007696123730347854,191436,191438,0.9950248756218906,1.0,0.0,-0.11680536173022445,0.026087878140084435,-0.0031736473381755673,0.036218640860093555,True
1,154474518,154474530,13,3,-0.10636933616365651,0.030259338548163685,-3.5152564883184345,0.00043932945779524927,-0.0036779570783797896,27253,27255,0.9950248756218906,1.0,0.0,-0.05101468440128661,0.03682968381073272,-0.1881350705894322,0.05373972621099783,True
10,63422630,63422841,212,3,-0.11299200681094923,0.03298499744808027,-3.425557542904263,0.0006135389553406332,0.008119988385411822,226708,226710,0.9950248756218906,1.0,0.02,-0.0914347740550776,0.043877783372458574,-0.20420213065128362,0.0495851341626828,True
10,102747329,102747431,103,5,-0.05412505447760596,0.015544681782447726,-3.4819017355968813,0.0004978663537204944,-0.003775048637753671,232610,232614,0.9950248756218906,1.0,0.0,-0.09681136360213603,0.020859266482180186,0.01668922538585816,0.02262068864203384,False
3,186353350,186353721,372,3,0.05143860950983993,0.014637599394614715,3.514142457592096,0.00044117614446483587,0.03242100723318664,92356,92358,0.9950248756218906,1.0,0.06,0.08213651679787028,0.018966810366527094,-0.016379357848859348,0.02792573888559494,False
6,84419234,84419244,11,4,-0.08504644061911125,0.02377625902713981,-3.576947934577663,0.0003476293801469955,-0.029610409965892655,155408,155411,0.9950248756218906,1.0,0.16,-0.0734385989051904,0.030887613064603896,-0.06584803175119215,0.04143968564275102,True
10,133766053,133767173,1121,4,-0.05263132215764997,0.015788871661287878,-3.3334441679385276,0.0008577788537720668,0.0025367349007202017,238151,238154,0.9950248756218906,1.0,0.0,-0.07519715482582749,0.01937672922204015,-0.004191262726405898,0.027161735150381325,True
10,134570057,134570358,302,3,-0.054805368793825984,0.016436256379550377,-3.334419196698197,0.0008547773128889624,0.007414588731018024,238987,238989,0.9950248756218906,1.0,0.0,-0.04919231682548861,0.020548839135302904,-0.03375863502008918,0.03494090333973278,True
15,91473059,91473291,233,4,0.07415894595337906,0.020840405799720543,3.5584213986070026,0.00037309040358951296,0.009420261314666578,325297,325300,0.9950248756218906,1.0,0.0,0.10400809025209876,0.02608635063691907,0.03006748006387,0.032235505029156744,True
11,2292510,2292544,35,4,-0.08235536402813293,0.023700170823681137,-3.4748848285027423,0.0005110727241364832,0.002269081244128285,242665,242668,0.9950248756218906,1.0,0.0,-0.10286586801885142,0.029342169449138894,0.058162624630713866,0.04481667952680001,False
11,30038672,30038692,21,5,-0.08045579635259154,0.024145845878033406,-3.3320761160736927,0.0008620067620077698,0.0047603043906579365,247352,247356,0.9950248756218906,1.0,0.0,-0.08926408942491708,0.03002915091461655,0.04270948478296329,0.04387480803175609,False
15,28983117,28983122,6,3,-0.06710109874126546,0.019042735669746704,-3.5237110835849776,0.00042554798840571244,-0.05288597001825927,314508,314510,0.9950248756218906,1.0,0.42,-0.013739803194840073,0.012719123020895208,-0.2189254032515425,0.0643237379942839,True
11,59823993,59824161,169,5,0.05055094573819853,0.014313896648052559,3.531599185123089,0.00041305492312528476,0.03980719392739278,251038,251042,0.9950248756218906,1.0,0.32,0.01976448403426211,0.013846315681379544,0.15570459533849437,0.03498788299213038,True
2,25391656,25391670,15,3,-0.05953996236957051,0.017625231261006288,-3.3781095684852396,0.0007298599336607698,-0.004147673861735989,45207,45209,0.9950248756218906,1.0,0.0,-0.036553019972470555,0.022069567448590767,-0.07352968089915898,0.0390060179642,True
3,150690810,150691910,1101,3,0.06133574997945173,0.01752969705779248,3.4989623481363097,0.00046707253210637303,0.030095987283807798,88973,88975,0.9950248756218906,1.0,0.1,0.09357820609678286,0.023132391037573863,-0.021192084047621622,0.02946857107459081,False
13,49684383,49684404,22,3,0.06030972334687823,0.01800473841565529,3.349658404058698,0.0008091127671947038,0.04597415628169862,292567,292569,0.9950248756218906,1.0,0.5,0.06077736472100523,0.02322178868691878,0.09394546487438234,0.03136877102690682,True
12,106751214,106751322,109,4,0.06327987727155539,0.017861799221826773,3.5427493325660384,0.00039597889850334384,0.01996402483391972,280515,280518,0.9950248756218906,1.0,0.02,0.05565508665106856,0.0208178704446888,0.04531703167615165,0.035019860141514585,True
12,122019006,122019080,75,4,-0.0597068702313398,0.017290262629128948,-3.453207826395389,0.0005539620371117966,-0.019312429460346323,283955,283958,0.9950248756218906,1.0,0.0,-0.05425543517593237,0.023268705326032008,-0.02506834075610268,0.02343086613249863,True
16,54965084,54965100,17,4,-0.09093482087137783,0.026554549312952567,-3.4244535578324564,0.0006160371276470925,-0.00506031564205371,337944,337947,0.9950248756218906,1.0,0.0,-0.08700595754030961,0.03414274221727117,-0.010288882578631985,0.04714399051184626,True
6,69344416,69344576,161,3,0.06321072947182835,0.01874235044921341,3.372614851222207,0.0007445802574544077,0.02054354339664307,154382,154384,0.9950248756218906,1.0,0.04,0.07262842334770096,0.023631388482975267,0.006390087358267226,0.03294938453755085,True
12,130195357,130195777,421,3,-0.07040130554881548,0.02048828160140878,-3.4361742443043473,0.0005899913887643451,-0.07040130554881548,285843,285845,0.9950248756218906,1.0,0.72,-0.05659165571811187,0.026601841478655054,-0.07397362136789191,0.03244795824351308,True
